p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.05,0.08,0.1,16,1,1.13,0.22,0.066,-16.69,221,61.09,63.64,-98.58,221,89.8
vwap_reclaim,30,0.02,0.05,0.08,0.1,16,2,-7.23,-1.44,-0.041,-31.79,244,62.7,107.42,-188.54,244,99.2
vwap_reclaim,30,0.02,0.05,0.08,0.1,16,3,9.26,1.73,0.187,-35.59,246,63.82,148.51,-251.58,246,100.0
vwap_reclaim,30,0.02,0.05,0.08,0.12,12,1,-1.35,-0.26,-0.003,-17.16,203,61.08,65.52,-104.55,203,82.5
vwap_reclaim,30,0.02,0.05,0.08,0.12,12,2,-7.72,-1.54,-0.05,-30.56,238,63.03,104.77,-187.37,238,96.7
vwap_reclaim,30,0.02,0.05,0.08,0.12,12,3,4.41,0.84,0.136,-38.14,243,63.37,144.19,-244.54,243,98.8
vwap_reclaim,30,0.02,0.05,0.08,0.12,14,1,1.11,0.21,0.066,-16.65,214,61.68,64.57,-102.59,214,87.0
vwap_reclaim,30,0.02,0.05,0.08,0.12,14,2,-6.12,-1.21,-0.024,-30.81,243,62.96,105.87,-186.78,243,98.8
vwap_reclaim,30,0.02,0.05,0.08,0.12,14,3,12.71,2.34,0.223,-36.32,246,63.82,146.11,-243.46,246,100.0
vwap_reclaim,30,0.02,0.05,0.08,0.12,16,1,0.45,0.09,0.048,-16.69,221,61.09,63.64,-99.38,221,89.8
vwap_reclaim,30,0.02,0.05,0.08,0.12,16,2,-5.74,-1.14,-0.02,-30.59,244,62.7,107.42,-186.91,244,99.2
vwap_reclaim,30,0.02,0.05,0.08,0.12,16,3,15.16,2.77,0.248,-35.65,246,63.82,148.51,-244.94,246,100.0
vwap_reclaim,30,0.02,0.05,0.08,0.15,12,1,-1.35,-0.26,-0.003,-17.16,203,61.08,65.52,-104.55,203,82.5
vwap_reclaim,30,0.02,0.05,0.08,0.15,12,2,-8.42,-1.69,-0.056,-31.64,238,63.03,104.77,-188.16,238,96.7
vwap_reclaim,30,0.02,0.05,0.08,0.15,12,3,5.42,1.03,0.15,-42.43,243,63.37,144.19,-243.4,243,98.8
vwap_reclaim,30,0.02,0.05,0.08,0.15,14,1,1.11,0.21,0.066,-16.65,214,61.68,64.57,-102.59,214,87.0
vwap_reclaim,30,0.02,0.05,0.08,0.15,14,2,-6.82,-1.36,-0.03,-32.79,243,62.96,105.87,-187.56,243,98.8
vwap_reclaim,30,0.02,0.05,0.08,0.15,14,3,14.37,2.63,0.237,-40.05,246,63.82,146.11,-241.59,246,100.0
vwap_reclaim,30,0.02,0.05,0.08,0.15,16,1,0.45,0.09,0.048,-16.69,221,61.09,63.64,-99.38,221,89.8
vwap_reclaim,30,0.02,0.05,0.08,0.15,16,2,-6.44,-1.28,-0.027,-32.06,244,62.7,107.42,-187.67,244,99.2
