p_max_pos_pct,p_n_tranches,p_dip_entry,p_tranche_gap,p_high_lb,p_profit_tgt,p_stop_loss,p_vix_thresh,p_spy_bull,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd
0.5,1,0.05,0.03,5,0.2,0.12,25.0,False,160.05,5.66,0.551,-25.72,83,48.19,927.67,-490.75
0.5,1,0.05,0.03,5,0.2,0.12,28.0,True,163.66,5.74,0.677,-13.13,71,47.89,976.86,-455.33
0.5,1,0.05,0.03,5,0.2,0.12,28.0,False,195.68,6.44,0.711,-17.81,91,48.35,1024.85,-543.1
0.5,1,0.05,0.03,5,0.2,0.12,32.0,True,186.77,6.25,0.743,-12.63,69,50.72,1011.18,-491.6
0.5,1,0.05,0.03,5,0.2,0.12,32.0,False,228.7,7.09,0.726,-21.51,109,48.62,1025.47,-562.15
0.5,1,0.05,0.03,5,0.2,0.12,,True,194.55,6.42,0.724,-15.31,69,52.17,1031.71,-535.96
0.5,1,0.05,0.03,5,0.2,0.12,,False,315.46,8.55,0.665,-30.84,122,56.56,1073.62,-802.54
0.5,1,0.05,0.03,5,0.2,0.15,25.0,True,146.86,5.34,0.55,-23.49,64,50.0,918.36,-459.44
0.5,1,0.05,0.03,5,0.2,0.15,25.0,False,158.13,5.61,0.536,-25.72,79,49.37,922.4,-504.01
0.5,1,0.05,0.03,5,0.2,0.15,28.0,True,157.7,5.6,0.646,-14.79,66,50.0,971.43,-493.55
0.5,1,0.05,0.03,5,0.2,0.15,28.0,False,201.53,6.56,0.714,-17.47,84,51.19,1018.61,-576.75
0.5,1,0.05,0.03,5,0.2,0.15,32.0,True,176.99,6.04,0.705,-13.63,64,53.12,1000.95,-544.43
0.5,1,0.05,0.03,5,0.2,0.15,32.0,False,235.7,7.22,0.732,-23.22,97,51.55,1043.22,-608.32
0.5,1,0.05,0.03,5,0.2,0.15,,True,186.48,6.25,0.71,-14.77,61,55.74,1016.25,-589.06
0.5,1,0.05,0.03,5,0.2,0.15,,False,328.99,8.75,0.667,-35.92,107,61.68,1081.15,-937.96
